Origin,Destination,Distance,Distance2
"New
York
Knicks",Los Angeles,2794.59,2794.59
"Oklahoma
City
Thunder",Los Angeles,1331.81,1331.81
"Orlando
Magic",Los Angeles,2508.22,2508.22
"Philadelphia
76ers",Los Angeles,2714.24,2714.24
"Phoenix
Suns",Los Angeles,374.24,374.24
"Portland
Trailblazers",Los Angeles,965.76,965.76
"Sacramento
Kings",Los Angeles,386.02,386.02
"San
Antonio
Spurs",Los Angeles,1359.05,1359.05
"Toronto
Raptors",Los Angeles,2520.82,2520.82
"Utah
Jazz",Los Angeles,691.96,691.96
"Washington
Wizards",Los Angeles,2672.72,2672.72
"Atlanta
Hawks",Memphis,385.01,NA
"Boston
Celtics",Memphis,1317.43,NA
"Brooklyn
Nets",Memphis,1103.84,NA
"Charlotte
Hornets",Memphis,629.88,NA
"Chicago
Bulls",Memphis,535.3,NA
"Cleveland
Cavaliers",Memphis,731.57,NA
"Dallas
Mavericks",Memphis,454.46,NA
"Denver
Nuggets",Memphis,1094.46,NA
"Detroit
Pistons",Memphis,754.03,NA
"Golden
State
Warriors",Memphis,2076.58,NA
"Houston
Rockets",Memphis,568.28,NA
"Indiana
Pacers",Memphis,472.91,NA
"Los
Angeles
Lakers/Clippers",Memphis,1796.45,NA
"Memphis
Grizzlies",Memphis,0,NA
"Miami
Heat",Memphis,1045.27,1045.27
"Milwaukee
Bucks",Memphis,623.16,623.16
"Minnesota
Timberwolves",Memphis,830.78,830.78
"New
Orleans
Pelicans",Memphis,393.46,393.46
"New
York
Knicks",Memphis,1099.55,1099.55
"Oklahoma
City
Thunder",Memphis,467.42,467.42
"Orlando
Magic",Memphis,821.61,821.61
"Philadelphia
76ers",Memphis,1016.3,1016.3
"Phoenix
Suns",Memphis,1424.6,1424.6
"Portland
Trailblazers",Memphis,2249.05,2249.05
"Sacramento
Kings",Memphis,2090.11,2090.11
"San
Antonio
Spurs",Memphis,723.59,723.59
"Toronto
Raptors",Memphis,992.65,992.65
"Utah
Jazz",Memphis,1524.47,1524.47
"Washington
Wizards",Memphis,878.16,878.16
"Atlanta
Hawks",Miami,662.37,NA
"Boston
Celtics",Miami,1498.74,NA
"Brooklyn
Nets",Miami,1284.93,NA
"Charlotte
Hornets",Miami,728.54,NA
"Chicago
Bulls",Miami,1380.31,NA
"Cleveland
Cavaliers",Miami,1240.53,NA
"Dallas
Mavericks",Miami,1313.32,NA
"Denver
Nuggets",Miami,2061.53,NA
"Detroit
Pistons",Miami,1392.42,NA
"Golden
State
Warriors",Miami,3097.04,NA
"Houston
Rockets",Miami,1185.7,NA
"Indiana
Pacers",Miami,1193.96,NA
"Los
Angeles
Lakers/Clippers",Miami,2734.58,NA
"Memphis
Grizzlies",Miami,1043.45,NA
"Miami
Heat",Miami,0,NA
"Milwaukee
Bucks",Miami,1473.37,1473.37
"Minnesota
Timberwolves",Miami,1789.26,1789.26
"New
Orleans
Pelicans",Miami,863.82,863.82
"New
York
Knicks",Miami,1286.28,1286.28
"Oklahoma
City
Thunder",Miami,1508.36,1508.36
"Orlando
Magic",Miami,234.21,234.21
"Philadelphia
76ers",Miami,1197.38,1197.38
"Phoenix
Suns",Miami,2360.08,2360.08
"Portland
Trailblazers",Miami,3257.27,3257.27
"Sacramento
Kings",Miami,3115.14,3115.14
"San
Antonio
Spurs",Miami,1376.01,1376.01
"Toronto
Raptors",Miami,1483.86,1483.86
"Utah
Jazz",Miami,2532.7,2532.7
"Washington
Wizards",Miami,1050.44,1050.44
"Atlanta
Hawks",Milwaukee,813.51,NA
"Boston
Celtics",Milwaukee,1074.63,NA
"Brooklyn
Nets",Milwaukee,883.66,NA
"Charlotte
Hornets",Milwaukee,863.93,NA
"Chicago
Bulls",Milwaukee,91.97,NA
"Cleveland
Cavaliers",Milwaukee,435.08,NA
"Dallas
Mavericks",Milwaukee,1002.65,NA
"Denver
Nuggets",Milwaukee,1043.6,NA
"Detroit
Pistons",Milwaukee,381.6,NA
"Golden
State
Warriors",Milwaukee,2173.03,NA
"Houston
Rockets",Milwaukee,1172.4,NA
"Indiana
Pacers",Milwaukee,283.6,NA
"Los
Angeles
Lakers/Clippers",Milwaukee,2058.74,NA
"Memphis
Grizzlies",Milwaukee,624.15,NA
"Miami
Heat",Milwaukee,1505.41,NA
"Milwaukee
Bucks",Milwaukee,0,NA
"Minnesota
Timberwolves",Milwaukee,337.23,337.23
"New
Orleans
Pelicans",Milwaukee,1016.41,1016.41
"New
York
Knicks",Milwaukee,883.08,883.08
"Oklahoma
City
Thunder",Milwaukee,878.82,878.82
"Orlando
Magic",Milwaukee,1251.71,1251.71
"Philadelphia
76ers",Milwaukee,850.6,850.6
"Phoenix
Suns",Milwaukee,1829.3,1829.3
"Portland
Trailblazers",Milwaukee,2043.1,2043.1
"Sacramento
Kings",Milwaukee,2089.17,2089.17
"San
Antonio
Spurs",Milwaukee,1273.47,1273.47
"Toronto
Raptors",Milwaukee,488.25,488.25
"Utah
Jazz",Milwaukee,1440.06,1440.06
"Washington
Wizards",Milwaukee,792.68,792.68
"Atlanta
Hawks",Minneapolis,1129.4,NA
"Boston
Celtics",Minneapolis,1399.98,NA
"Brooklyn
Nets",Minneapolis,1209,NA
"Charlotte
Hornets",Minneapolis,1180.93,NA
"Chicago
Bulls",Minneapolis,408.29,NA
"Cleveland
Cavaliers",Minneapolis,760.43,NA
"Dallas
Mavericks",Minneapolis,942.08,NA
"Denver
Nuggets",Minneapolis,914.03,NA
"Detroit
Pistons",Minneapolis,697.18,NA
"Golden
State
Warriors",Minneapolis,1980.45,NA
"Houston
Rockets",Minneapolis,1181.21,NA
"Indiana
Pacers",Minneapolis,599.19,NA
"Los
Angeles
Lakers/Clippers",Minneapolis,1929.16,NA
"Memphis
Grizzlies",Minneapolis,830.78,NA
"Miami
Heat",Minneapolis,1791.27,NA
"Milwaukee
Bucks",Minneapolis,336.98,NA
"Minnesota
Timberwolves",Minneapolis,0,NA
"New
Orleans
Pelicans",Minneapolis,1223.04,1223.04
"New
York
Knicks",Minneapolis,1208.36,1208.36
"Oklahoma
City
Thunder",Minneapolis,787.71,787.71
"Orlando
Magic",Minneapolis,1567.61,1567.61
"Philadelphia
76ers",Minneapolis,1175.94,1175.94
"Phoenix
Suns",Minneapolis,1642.08,1642.08
"Portland
Trailblazers",Minneapolis,1728.39,1728.39
"Sacramento
Kings",Minneapolis,1893.59,1893.59
"San
Antonio
Spurs",Minneapolis,1247.05,1247.05
"Toronto
Raptors",Minneapolis,822.57,822.57
"Utah
Jazz",Minneapolis,1244.48,1244.48
"Washington
Wizards",Minneapolis,1118.03,1118.03
"Atlanta
Hawks",New Orleans,470.13,NA
"Boston
Celtics",New Orleans,1524.67,NA
"Brooklyn
Nets",New Orleans,1311.08,NA
"Charlotte
Hornets",New Orleans,714.3,NA
"Chicago
Bulls",New Orleans,926.65,NA
"Cleveland
Cavaliers",New Orleans,1052.7,NA
"Dallas
Mavericks",New Orleans,506.25,NA
"Denver
Nuggets",New Orleans,1298.45,NA
"Detroit
Pistons",New Orleans,1075.16,NA
"Golden
State
Warriors",New Orleans,2258.13,NA
"Houston
Rockets",New Orleans,346.79,NA
"Indiana
Pacers",New Orleans,819.36,NA
"Los
Angeles
Lakers/Clippers",New Orleans,1895.66,NA
"Memphis
Grizzlies",New Orleans,393.78,NA
"Miami
Heat",New Orleans,862.45,NA
"Milwaukee
Bucks",New Orleans,1016.2,NA
"Minnesota
Timberwolves",New Orleans,1222.13,NA
"New
Orleans
Pelicans",New Orleans,0,NA
"New
York
Knicks",New Orleans,1306.79,1306.79
"Oklahoma
City
Thunder",New Orleans,708.01,708.01
"Orlando
Magic",New Orleans,638.79,638.79
"Philadelphia
76ers",New Orleans,1223.54,1223.54
"Phoenix
Suns",New Orleans,1521.16,1521.16
"Portland
Trailblazers",New Orleans,2511.46,2511.46
"Sacramento
Kings",New Orleans,2276.23,2276.23
"San
Antonio
Spurs",New Orleans,537.1,537.1
"Toronto
Raptors",New Orleans,1313.78,1313.78
"Utah
Jazz",New Orleans,1745.06,1745.06
"Washington
Wizards",New Orleans,1085.4,1085.4
"Atlanta
Hawks",New York (Manhattan),864.61,NA
"Boston
Celtics",New York (Manhattan),213.78,NA
"Brooklyn
Nets",New York (Manhattan),5.45,NA
"Charlotte
Hornets",New York (Manhattan),628.16,NA
"Chicago
Bulls",New York (Manhattan),792.7,NA
"Cleveland
Cavaliers",New York (Manhattan),463.46,NA
"Dallas
Mavericks",New York (Manhattan),1551.2,NA
"Denver
Nuggets",New York (Manhattan),1778.49,NA
"Detroit
Pistons",New York (Manhattan),625.02,NA
